clone,treatment,R0,Delta
clone1,c,4.755555556,1.933333334
clone2,c,6.355555556,4.888888889
clone3,c,5.866666667,1.106666667
clone4,c,3.755555556,-2.604444444
clone9,c,4.577777778,2.6
clone11,c,4.644444444,0.022222222
clone12,c,1.577777778,-1.577777778
clone13,c,7.311111111,3.222222222
clone14,c,1.444444444,-0.8
clone16,c,4.777777778,1.644444445
clone17,c,4.76,0.826666667
clone18,c,6.36,2.515555556
clone19,c,4.111111111,1.555555555
clone20,c,3.444444444,0.622222222
clone21,c,5.377777778,0.617777778
clone24,c,6.711111111,0.351111111
clone25,c,6.355555556,4.222222223
clone26,c,4.533333333,0.222222222
clone27,c,9.644444444,2.933333333
clone28,c,1.288888889,0.933333333
clone1,m,2.822222222,
clone2,m,1.466666667,
clone3,m,4.76,
clone4,m,6.36,
clone9,m,1.977777778,
clone11,m,4.622222222,
clone12,m,3.155555556,
clone13,m,4.088888889,
clone14,m,2.244444444,
clone16,m,3.133333333,
clone17,m,3.933333333,
clone18,m,3.844444444,
clone19,m,2.555555556,
clone20,m,2.822222222,
clone21,m,4.76,
clone24,m,6.36,
clone25,m,2.133333333,
clone26,m,4.311111111,
clone27,m,6.711111111,
clone28,m,0.355555556,
